target,partner_name,days,lead_days,country_code,pickup_country_code,flight_type,pax
C,Scandinavian Airlines (SAS),3,17,SE,SE,Domestic,1
large car,Scandinavian Airlines (SAS),17,171,NO,US,International,1
S,Scandinavian Airlines (SAS),2,1,NO,NO,Domestic,1
C,Lufthansa,2,1,US,DE,International,1
E,Scandinavian Airlines (SAS),4,51,DK,GB,International,3
C,Scandinavian Airlines (SAS),3,135,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),3,14,SE,DE,International,1
I,Scandinavian Airlines (SAS),3,6,SE,DK,International,1
S,Scandinavian Airlines (SAS),2,0,DK,US,International,1
I,Scandinavian Airlines (SAS),4,8,SE,SE,Domestic,1
C,Lufthansa,10,212,GB,DE,International,2
C,Scandinavian Airlines (SAS),10,46,NO,IT,International,1
M,Lufthansa,3,4,DE,DE,Domestic,2
E,Lufthansa,3,13,IT,DE,International,1
F,Lufthansa,1,52,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),5,49,SE,NO,International,1
C,Lufthansa,5,13,DE,IT,International,2
M,TrenItalia,2,5,IT,IT,Domestic,1
E,Travelstart,3,8,ZA,ZA,Domestic,1
M,Scandinavian Airlines (SAS),5,43,DK,FR,International,1
C,Scandinavian Airlines (SAS),8,4,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),3,79,SE,GB,International,1
S,Scandinavian Airlines (SAS),8,9,SE,US,International,1
C,Scandinavian Airlines (SAS),5,138,GB,NO,International,1
M,Travelstart,1,0,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),6,130,SE,US,International,1
I,Lufthansa,5,73,DE,FR,International,1
C,Scandinavian Airlines (SAS),3,54,SE,NO,International,2
E,TrenItalia,2,1,IT,IT,Domestic,1
C,Scandinavian Airlines (SAS),5,108,DK,NO,International,1
M,Travelstart,7,101,ZA,ZA,Domestic,1
E,Lufthansa,2,15,FR,IT,International,1
C,Scandinavian Airlines (SAS),2,9,NO,GB,International,1
M,Lufthansa,9,32,DE,IT,International,1
I,Scandinavian Airlines (SAS),7,42,NO,ES,International,1
E,TrenItalia,4,25,IT,IT,Domestic,1
C,Scandinavian Airlines (SAS),14,3,SE,ES,International,1
C,Scandinavian Airlines (SAS),2,0,SE,SE,Domestic,1
E,Lufthansa,4,16,IT,NO,International,1
C,Air Caraibes,2,1,FR,FR,Domestic,1
I,Lufthansa,5,1,US,IT,International,1
C,Scandinavian Airlines (SAS),5,6,SE,ES,International,1
C,Scandinavian Airlines (SAS),3,0,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),10,141,DK,GB,International,1
C,Scandinavian Airlines (SAS),12,26,SE,ES,International,1
C,Lufthansa,2,2,FR,DK,International,1
S,Lufthansa,9,71,DE,US,International,2
C,Lufthansa,4,88,IT,DE,International,2
M,Lufthansa,4,2,DE,ES,International,1
E,Scandinavian Airlines (SAS),6,209,US,IT,International,3
I,FreeNow,6,1,FR,FR,Domestic,1
E,Lufthansa,3,5,DE,GB,International,2
C,Scandinavian Airlines (SAS),3,15,SE,SE,Domestic,1
I,Scandinavian Airlines (SAS),2,0,SE,IT,International,1
E,Lufthansa,1,24,DE,DK,International,1
I,Scandinavian Airlines (SAS),13,49,NO,ES,International,1
I,Scandinavian Airlines (SAS),9,7,DK,US,International,1
C,Scandinavian Airlines (SAS),3,22,NO,NO,Domestic,1
medium car,Scandinavian Airlines (SAS),2,1,SE,SE,Domestic,1
C,Lufthansa,11,21,GB,DE,International,1
F,Scandinavian Airlines (SAS),2,34,DK,DE,International,1
E,FreeNow,1,0,GB,DE,International,1
C,Scandinavian Airlines (SAS),10,20,NO,NO,Domestic,1
F,Scandinavian Airlines (SAS),7,137,SE,IT,International,2
E,Travelstart,2,21,ZA,ZA,Domestic,1
medium car,Scandinavian Airlines (SAS),4,37,DK,ES,International,1
M,Lufthansa,1,4,GB,DE,International,2
E,Travelstart,3,3,ZA,ZA,Domestic,1
M,TrenItalia,1,23,IT,IT,Domestic,1
F,Scandinavian Airlines (SAS),4,33,SE,GB,International,2
E,Lufthansa,2,14,DE,DK,International,2
E,Travelstart,13,1,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),2,6,DK,NO,International,1
I,Scandinavian Airlines (SAS),9,116,DK,ES,International,2
E,Travelstart,1,0,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),2,1,SE,SE,Domestic,1
C,Lufthansa,3,3,US,GB,International,1
C,Lufthansa,2,11,DE,DK,International,1
E,Lufthansa,2,6,DE,FR,International,2
M,Travelstart,2,1,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),2,9,DK,NO,International,1
C,Scandinavian Airlines (SAS),4,19,SE,NO,International,1
C,Scandinavian Airlines (SAS),12,8,DK,IT,International,2
I,Scandinavian Airlines (SAS),3,4,NO,NO,Domestic,1
C,Lufthansa,14,26,DE,ES,International,1
M,Lufthansa,1,6,FR,DE,International,1
medium car,Scandinavian Airlines (SAS),3,25,GB,SE,International,3
C,Lufthansa,12,4,US,DE,International,2
M,Lufthansa,6,23,DE,IT,International,1
I,Scandinavian Airlines (SAS),3,4,SE,FR,International,1
M,Travelstart,5,14,ZA,ZA,Domestic,1
F,Scandinavian Airlines (SAS),17,62,NO,US,International,1
E,Scandinavian Airlines (SAS),10,14,SE,GB,International,2
E,Scandinavian Airlines (SAS),4,14,SE,NO,International,1
C,Lufthansa,3,6,DK,ES,International,1
I,Scandinavian Airlines (SAS),8,3,DK,US,International,1
C,Scandinavian Airlines (SAS),1,1,DK,DK,Domestic,1
C,Scandinavian Airlines (SAS),1,1,NO,NO,Domestic,1
C,Lufthansa,4,4,DE,FR,International,1
medium car,Scandinavian Airlines (SAS),4,3,DK,ES,International,1
C,Lufthansa,6,4,SE,IT,International,1
E,Scandinavian Airlines (SAS),3,7,NO,NO,Domestic,1
E,Lufthansa,3,33,DE,DE,Domestic,1
E,Lufthansa,3,7,DE,ES,International,2
E,Scandinavian Airlines (SAS),2,1,DK,NO,International,2
E,Lufthansa,3,62,GB,DE,International,1
M,Scandinavian Airlines (SAS),4,24,DK,IT,International,2
large car,Scandinavian Airlines (SAS),4,30,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),8,3,DK,SE,International,2
medium car,Scandinavian Airlines (SAS),8,21,DK,IT,International,5
C,Scandinavian Airlines (SAS),15,10,GB,SE,International,1
F,Lufthansa,9,19,DE,IT,International,1
I,Scandinavian Airlines (SAS),5,98,NO,IT,International,4
C,Lufthansa,6,4,DE,DE,Domestic,1
I,Scandinavian Airlines (SAS),1,5,DK,US,International,1
E,Scandinavian Airlines (SAS),4,6,DK,NO,International,1
I,Lufthansa,18,49,FR,US,International,2
I,Lufthansa,6,12,DE,NO,International,1
C,Lufthansa,6,16,DE,GB,International,1
M,Travelstart,6,5,ZA,ZA,Domestic,1
M,Travelstart,3,1,ZA,ZA,Domestic,1
F,Lufthansa,15,32,US,DE,International,1
C,Lufthansa,3,9,DE,DE,Domestic,1
M,Scandinavian Airlines (SAS),4,10,SE,FR,International,2
C,Lufthansa,5,113,DE,SE,International,1
M,Travelstart,3,1,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),2,4,SE,IT,International,1
C,Lufthansa,10,48,DE,FR,International,2
M,Scandinavian Airlines (SAS),11,28,DK,ES,International,1
medium car,Scandinavian Airlines (SAS),3,3,NO,NO,Domestic,1
C,Lufthansa,1,19,IT,DE,International,2
I,Lufthansa,4,26,DE,DK,International,3
M,TrenItalia,14,43,IT,IT,Domestic,1
S,Lufthansa,5,65,US,GB,International,1
C,Scandinavian Airlines (SAS),1,1,NO,SE,International,1
C,Scandinavian Airlines (SAS),1,1,NO,NO,Domestic,1
M,TrenItalia,5,8,IT,IT,Domestic,1
S,Scandinavian Airlines (SAS),5,72,DK,US,International,1
I,Scandinavian Airlines (SAS),3,1,DK,US,International,1
M,Air Caraibes,5,61,FR,FR,Domestic,1
S,Scandinavian Airlines (SAS),1,16,NO,NO,Domestic,1
E,Lufthansa,3,5,DE,DE,Domestic,2
C,Scandinavian Airlines (SAS),5,5,DK,IT,International,2
C,Scandinavian Airlines (SAS),6,9,DK,IT,International,1
M,TrenItalia,3,1,IT,IT,Domestic,1
F,Scandinavian Airlines (SAS),7,15,US,NO,International,1
E,FreeNow,1,0,IT,IT,Domestic,1
C,Scandinavian Airlines (SAS),3,40,SE,SE,Domestic,1
I,Scandinavian Airlines (SAS),38,237,SE,US,International,2
C,Lufthansa,10,49,DE,SE,International,2
I,Lufthansa,8,158,DE,NO,International,4
E,Scandinavian Airlines (SAS),4,5,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),7,76,DK,US,International,1
C,Scandinavian Airlines (SAS),3,16,SE,SE,Domestic,1
I,Lufthansa,8,67,DE,US,International,2
M,Scandinavian Airlines (SAS),2,16,NO,NO,Domestic,1
M,Travelstart,15,18,ZA,ZA,Domestic,1
S,Scandinavian Airlines (SAS),1,10,NO,NO,Domestic,1
I,Scandinavian Airlines (SAS),11,49,DK,US,International,1
M,Travelstart,4,6,ZA,ZA,Domestic,1
C,Lufthansa,1,1,DE,IT,International,1
C,Scandinavian Airlines (SAS),7,65,DE,NO,International,1
C,Lufthansa,1,1,DE,GB,International,1
C,Lufthansa,1,9,DE,DE,Domestic,1
M,Travelstart,3,1,ZA,ZA,Domestic,1
M,Scandinavian Airlines (SAS),3,35,SE,SE,Domestic,1
M,Lufthansa,16,288,GB,ZA,International,2
E,Scandinavian Airlines (SAS),7,1,SE,DE,International,2
E,Lufthansa,2,17,FR,DE,International,1
E,Lufthansa,8,38,DE,FR,International,2
C,Scandinavian Airlines (SAS),3,24,US,DK,International,2
C,Lufthansa,7,5,DE,FR,International,2
M,FreeNow,6,1,DE,DE,Domestic,1
C,TrenItalia,6,1,IT,IT,Domestic,1
medium car,Scandinavian Airlines (SAS),5,3,SE,US,International,1
E,Scandinavian Airlines (SAS),7,72,DE,NO,International,1
large car,Scandinavian Airlines (SAS),6,41,SE,SE,Domestic,1
I,Lufthansa,4,11,GB,DE,International,1
C,Scandinavian Airlines (SAS),7,73,NO,ES,International,3
M,Lufthansa,4,10,DE,FR,International,1
E,Lufthansa,10,8,DE,IT,International,2
C,Lufthansa,15,7,DE,ES,International,1
medium car,Scandinavian Airlines (SAS),2,12,SE,DK,International,1
M,Lufthansa,7,8,DE,ZA,International,1
M,Travelstart,2,1,ZA,ZA,Domestic,1
C,Lufthansa,2,11,FR,DE,International,2
medium car,Scandinavian Airlines (SAS),2,9,NO,SE,International,1
